"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"filho";0,477931070859562;-1,28096871000971;0,136615831150391;-0,0450166110507353;0,347644681636431;-0,931770262554057;0,099373675457752;-0,0327448587699847;0,139202116514444;0,851618444315987;0,0084698409326452;0,000709598236922634;0,00213414427527405;0,0153309930885589;0,00017437944948757;1,89338459587416e-05;0,0093431483578709;0,770578982496671;0,00554788645321771
"família_substituta";-0,264961854821473;1,04978188757756;-0,261525329237356;0,993652556067498;-0,177511691038018;0,703303342326516;-0,175209384284682;0,66569939152425;0,043150304161454;0,576856790970064;0,0313041960554153;0,348688708813066;0,000755317613645678;0,0118566241326342;0,000735851901937396;0,0106226289022707;0,0107587768969422;0,767301837080539;0,00633425259034895
"adolescente";-1,57968256449423;0,434518746555626;0,144869393161115;-0,178644545625387;-0,954825767415494;0,262641181818215;0,0875650795983594;-0,107980184883515;0,927602957400596;0,0597712336389569;0,00580943164583651;0,00681637731460765;0,0162497539935002;0,0012294876685986;0,000136665980951869;0,000207819675730216;0,0065118912797282;0,986651034926137;0,00633919764682299
"negligência";0,339903963501281;0,0119658302820051;0,0578665082031459;-1,32129159108413;0,248906184080597;0,00876238430458523;0,0423747095931093;-0,967560497402945;0,103039964760461;0,000108750591941884;0,00222385100503023;0,894627433642566;0,000915903658920907;1,13507096303992e-06;2,6545559910955e-05;0,0138399550177661;0,00792751981879955;0,636983512569048;0,00321657527405846
"situação";0,578361934467388;-0,575887675016491;0,873233057021106;0,306032405657091;0,468752651402059;-0,466747305599119;0,707740752592095;0,248034134021663;0,270067927557838;0,228035196744588;0,458449848443091;0,043447027254483;0,00322001300288482;0,00319252120159133;0,00734038025020681;0,000901556719314004;0,00962627406568516;0,669480619176438;0,00431453742395172
"caso";0,0987595973645672;0,256553258005353;-1,42916146701052;1,08598680071778;0,054386444923302;0,141282670330204;-0,78703248581651;0,59804781409387;0,0043072660963523;0,0247543118529738;0,671681778642204;0,299256643408472;8,56050963250154e-05;0,000577691619475651;0,0179268339361318;0,0103511855241591;0,00877689694224236;0,905218190746549;0,0071919646541937
"genitor";0,490892897768628;-0,798960522318854;-0,829922587387055;-0,815573730937445;0,328487228706801;-0,534634599554459;-0,555353259358917;-0,545751539489534;0,143464035967562;0,323647976848161;0,305353291083503;0,227534696100772;0,00191034072430098;0,0050604364819571;0,0054602497252396;0,00527307313042646;0,00792751981879955;0,779632688479872;0,00481856161112624
"manutenção";-0,556539758634788;-0,0854900717747292;-0,0737584663165882;-0,784343270189624;-0,574736701136035;-0,08828530409439;-0,0761701153492386;-0,809988606695127;0,459896894235559;0,00924170619432768;0,00601519527401001;0,524846204296101;0,00254313663230373;6,00079328395815e-05;4,4668468076977e-05;0,00505114286502289;0,00821064552661382;0,493674585643741;0,00200105416160959
"família";-1,79858043230573;0,309375793190114;0,226172052941499;-0,209863249279416;-0,971737084627521;0,167149561915052;0,122196242882417;-0,113384921998625;0,957124434423873;0,0241175974909722;0,0112705327266742;0,00748743535847732;0,0256446670445202;0,000758769728068045;0,000405522743739982;0,000349148452759683;0,00792751981879955;1,10591175880346;0,00969568032595508
"materno";0,654844502494911;-0,737638329396619;0,106002751315922;-0,022426674877443;0,65992195235784;-0,74335773548496;0,106824661942167;-0,022600563971493;0,476013133030338;0,514377806873481;0,00928826777591612;0,000320792320263455;0,00315666885154105;0,00400534199599969;8,27155055068441e-05;3,70239224165398e-06;0,00736126840317101;0,570957170871805;0,00239971527894064
"adoção";0,962558574574636;1,20754183055216;-0,418550209594928;0,735323430920642;0,546647063556562;0,685775612237167;-0,237699033668844;0,417597853153754;0,355061081686015;0,475889161783526;0,0499921430313689;0,119057613499089;0,00708267645983951;0,0111467288670437;0,00133917766271316;0,00413332808540328;0,00764439411098528;0,971740815505671;0,00721845009570496
"art";-1,99204883055899;0,90259905372303;0,604206532731902;-0,469643367611988;-0,859746679528798;0,389551966538117;0,260768989342542;-0,202692986071946;0,784139516371776;0,137099489128769;0,0537182805300039;0,0250427139694484;0,0235938361862854;0,00484382392055942;0,00217054819312402;0,00131139941890728;0,00594563986409966;1,35325027203174;0,0108881688204512
"interesse";0,338892610185711;0,544605130652471;0,603442636544404;-0,36208112873049;0,355904103272849;0,571942836276201;0,633733825940461;-0,380256622775658;0,160867578081261;0,353802168851273;0,379816825246714;0,105513427820753;0,000682846043603673;0,00176344555917126;0,00216506322978281;0,000779489699727535;0,00594563986409966;0,50827956604255;0,00153604486477476
"avô";0,109934506362249;-0,777722408259655;-0,422056906231742;-0,437665038705931;0,110677406135478;-0,782977990149728;-0,424909022371658;-0,440622629263838;0,0156974717884268;0,66905771463356;0,172290591235365;0,142954222342647;7,18565995105715e-05;0,00359623302109093;0,00105910891111441;0,00113889139530429;0,00594563986409966;0,52782990037608;0,00165648144913689
"princípio";-0,412546680229686;0,910786607821127;-0,109106892081458;0,155816829048908;-0,405333072425581;0,894860998194614;-0,107199097482888;0,153092285262948;0,189217345630222;0,785417788076209;0,00985546254246759;0,0155094037511004;0,00115647630827996;0,00563668569639626;8,08900151733289e-05;0,000164975430678527;0,00679501698754247;0,570515485696953;0,00221169594169896
