protetivas;1;1;0;4;0
perda;0;3;1;0;2
núcleo;1;1;2;1;0
novo;0;1;1;0;3
mérito;0;0;0;3;0
meio;1;1;4;0;0
longo;0;5;0;0;0
justificar;0;3;1;0;1
institucional;0;0;0;0;6
inserir;0;0;6;0;0
guardião;0;2;4;0;0
embora;4;2;0;0;0
criar;4;0;0;2;0
cpc;0;0;0;2;1
constatar;0;3;0;0;3
atualmente;0;3;1;0;1
apelo;0;0;6;0;0
acercar;0;2;0;0;2
único;0;1;3;1;0
visar;1;0;1;1;0
tutelar;0;4;0;1;0
trato;0;0;4;0;0
tenro;3;0;2;0;0
suspenso;0;1;0;1;2
superar;0;0;0;0;3
suficiente;0;0;0;0;4
restabelecimento;1;0;0;0;3
relatório;0;5;0;0;0
recomendar;2;1;0;0;1
permitir;2;1;0;1;0
norteador;5;0;0;0;0
mau;0;0;4;0;0
instituição;2;1;1;0;1
inexistência;0;1;4;0;0
indicar;0;1;0;0;4
inclusive;0;2;1;0;0
ignorar;2;0;0;0;3
grave;1;2;1;0;1
filial;0;2;0;0;3
excepcional;3;0;0;2;0
episódio;0;4;0;0;1
emocional;0;1;0;1;1
efeito;0;1;0;0;2
educado;5;0;0;0;0
deferir;0;1;0;1;3
convívio;0;4;0;0;1
contar;0;3;0;1;0
conflito;0;2;0;2;1
cna;3;0;0;2;0
casal;0;2;0;1;0
até;0;1;0;0;4
assunto;1;1;2;0;1
aproximação;0;1;0;0;3
adequado;1;0;0;4;0
ademais;0;1;2;0;0
vista;0;1;0;0;3
vir;0;3;0;0;1
violação;0;1;2;0;0
vinculação;0;0;2;1;1
tutela;2;0;0;1;1
transitar;1;0;1;1;0
termo;2;0;0;2;0
tampouco;0;1;1;1;0
suspender;1;0;0;0;3
sofrer;0;2;2;0;0
sentido;1;0;0;0;3
sempre;0;0;0;0;4
ré;0;2;1;0;0
retornar;2;1;0;0;1
referência;2;0;2;0;0
rede;0;1;2;0;0
quo;0;0;0;4;0
pátrio;0;1;1;0;1
programa;0;1;0;0;3
produzir;0;0;0;2;2
procedimento;0;1;0;2;1
primordialmente;2;1;0;0;0
postular;0;1;1;1;1
posto;0;0;4;0;0
período;1;3;0;0;0
objectivo;2;0;0;0;1
norma;1;0;3;0;0
necessário;1;1;0;0;1
necessidade;0;1;3;0;0
narrar;0;1;0;1;1
mês;0;2;1;0;1
menos;0;4;0;0;0
menino;2;1;1;0;0
local;0;0;1;1;1
legal;0;1;2;1;0
lado;0;1;0;0;3
junto;2;1;0;0;0
infância;3;1;0;0;0
inexistir;0;0;0;0;3
indício;3;0;0;0;1
indeferir;0;1;0;1;1
grau;0;1;2;0;1
físico;0;0;0;2;1
formação;0;1;0;2;1
extenso;3;0;0;0;0
existência;0;0;2;0;1
exame;0;0;0;3;1
entanto;0;3;0;0;1
doutrina;4;0;0;0;0
diverso;0;2;0;0;1
devido;0;2;0;0;1
determinação;1;0;0;1;1
destituir;0;0;2;1;0
desenvolver;0;1;3;0;0
depois;0;1;1;1;0
consolidado;0;0;3;0;0
conselho;0;4;0;0;0
comprovar;0;0;2;2;0
comarca;0;1;0;2;0
colocar;0;4;0;0;0
benefício;0;3;0;0;1
avaliação;0;3;1;0;0
atual;0;4;0;0;0
aptar;0;0;1;3;0
apenas;0;1;1;2;0
afastamento;0;0;1;1;2
viver;0;3;0;0;0
usuário;0;1;1;1;0
