"";"";"";"";"*cod_10028643";""
"1";"*cod_10028643";"0.299356880201121";"0.716888765876867";"0.96762614290552";"54"
"2";"*ori_santa_bárbara_do_sul";"0.299356880201121";"0.716888765876867";"0.96762614290552";"57"
"3";"*cod_10020598";"2.09249631286038";"2.41043583851774";"0.962269201619015";"61"
"4";"*ano_2016";"0.250707024565306";"0.720825367239836";"0.953222711366972";"68"
"5";"*rel_luiz_augusto_guimaraes_de_souza";"0.113347951459725";"-1.50979035032122";"0.924380371857514";"74"
"6";"*ori_santa_maria";"0.113347951459725";"-1.50979035032122";"0.924380371857514";"77"
"7";"*cod_10306088";"0.113347951459725";"-1.50979035032122";"0.924380371857514";"78"
"8";"*ori_júlio_de_castilhos";"0.113347951459725";"-1.50979035032122";"0.924380371857514";"81"
"9";"*ori_santa_rosa";"-0.0131314236011995";"-0.306007020081848";"0.858181349071969";"104"
"10";"*ori_santana_do_livramento";"-0.461416281766014";"-0.729393788242065";"0.858181349071969";"107"
"11";"*ori_farroupilha";"0.0455711299632678";"0.3625030417384";"0.854172512215181";"109"
"12";"*cod_10330142";"0.206352415830423";"-0.396450792222177";"0.852221308435328";"115"
"13";"*ano_2022";"-0.32424460964532";"-0.221594306584897";"0.851121539032138";"117"
"14";"*ano_2018";"-0.433415774583284";"0.237610211829541";"0.849773434602422";"118"
"15";"*ori_são_leopoldo";"-1.32024791297056";"-0.59389818065376";"0.844913163368971";"126"
"16";"*ori_novo_hamburgo";"-1.32024791297056";"-0.59389818065376";"0.844913163368971";"128"
"17";"*ori_santa_vitória_do_palmar";"-1.32024791297056";"-0.59389818065376";"0.844913163368971";"131"
"18";"*ori_porto_alegre";"0.0440170097677126";"-0.748835929529252";"0.843848870398142";"133"
"19";"*rel_eduardo_augusto_dias_bainy";"0.303400084094494";"-1.43920540996816";"0.832957605663329";"134"
"20";"*ori_sapiranga";"-0.780379648580002";"-0.156969198476884";"0.818625126989502";"138"
"21";"*cod_10408854";"0.302726216778932";"-1.07985638066065";"0.818625126989502";"139"
"22";"*rel_carlos_eduardo_zietlow_duro";"-0.842382624827134";"-0.899195570542914";"0.814509860835631";"140"
