"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"classe 1";-1,88645592798137;0,698847577665663;0,492719409227674;-0,213239561923449;-0,906013585471482;0,335637525450412;0,236639760285015;-0,102413174459563;0,851051228327028;0,0994672273910161;0,0432334213653434;0,00624812291661558;0,667007353046155;0,0915381693566442;0,0455026442650171;0,00852261475913918;0,187429218573046;1,23010908339179;0,283611962730027
"classe 2";0,298054390929838;-1,35823879445233;1,30628750047842;0,619795127602341;0,148578754352156;-0,677075843650317;0,651178360571656;0,308965044015637;0,0281900327556737;0,498550896742116;0,403218048708519;0,0700410217936911;0,0176817676179636;0,367186657360418;0,339634791856183;0,0764594105720046;0,199037372593431;1,0678802323792;0,226975888467296
"classe 3";1,25875009040676;1,33812518064695;0,627938705240432;-0,609799793885323;0,618552758354127;0,657557864599488;0,308570558337178;-0,299657054586313;0,438098710014659;0,421637412603682;0,0811867843816532;0,0590770930000015;0,30818753674916;0,348280796253946;0,0766956175111307;0,0723286882173597;0,194507361268403;1,14400610190189;0,254561501510951
"classe 4";0,180079409316592;0,397972389064978;-1,18341835812613;1,6662807472174;0,0861655416423087;0,190424361078288;-0,566249546266111;0,797292614724881;0,0115588819354894;0,048077990293758;0,371725373282805;0,568637754487949;0,00604134049494812;0,0295060506164838;0,260904640093505;0,517251253053274;0,186296715741789;1,00758329107205;0,189132913419735
"classe 5";0,0681849441121889;-0,838142402705456;-1,09149023430443;-1,18252026518364;0,0375525775971001;-0,461603481895208;-0,601133758396186;-0,651268173592499;0,00202709089583585;0,260846238867216;0,386806571073867;0,35032009916308;0,00108200209177369;0,163488326412509;0,277262306274165;0,325438033398223;0,23272933182333;0,911017439398138;0,193154354744495
