"";"X";"V1"
"1";1;4
"2";2;1
"3";3;5
"4";4;5
"5";5;2
"6";6;2
"7";7;4
"8";8;4
"9";9;5
"10";10;0
"11";11;5
"12";12;4
"13";13;3
"14";14;1
"15";15;1
"16";16;5
"17";17;2
"18";18;2
"19";19;2
"20";20;2
"21";21;1
"22";22;5
"23";23;5
"24";24;5
"25";25;0
"26";26;0
"27";27;0
"28";28;5
"29";29;0
"30";30;5
"31";31;1
"32";32;5
"33";33;0
"34";34;0
"35";35;4
"36";36;5
"37";37;2
"38";38;0
"39";39;3
"40";40;5
"41";41;4
"42";42;0
"43";43;5
"44";44;0
"45";45;5
"46";46;0
"47";47;2
"48";48;2
"49";49;0
"50";50;2
"51";51;2
"52";52;2
"53";53;2
"54";54;2
"55";55;3
"56";56;2
"57";57;0
"58";58;2
"59";59;2
"60";60;4
"61";61;4
"62";62;2
"63";63;2
"64";64;2
"65";65;0
"66";66;4
"67";67;0
"68";68;5
"69";69;5
"70";70;3
"71";71;0
"72";72;5
"73";73;4
"74";74;0
"75";75;0
"76";76;0
"77";77;4
"78";78;0
"79";79;3
"80";80;5
"81";81;0
"82";82;0
"83";83;4
"84";84;1
"85";85;5
"86";86;1
"87";87;0
"88";88;5
"89";89;1
"90";90;0
"91";91;1
"92";92;0
"93";93;5
"94";94;2
"95";95;5
"96";96;5
"97";97;0
"98";98;0
"99";99;5
"100";100;1
"101";101;0
"102";102;2
"103";103;0
"104";104;5
"105";105;5
"106";106;1
"107";107;4
"108";108;1
"109";109;0
"110";110;2
"111";111;3
"112";112;5
"113";113;2
"114";114;1
"115";115;0
"116";116;1
"117";117;2
"118";118;3
"119";119;3
"120";120;5
"121";121;5
"122";122;1
"123";123;1
"124";124;0
"125";125;2
"126";126;2
"127";127;3
"128";128;1
"129";129;0
"130";130;2
"131";131;0
"132";132;4
"133";133;2
"134";134;4
"135";135;1
"136";136;0
"137";137;4
"138";138;1
"139";139;0
"140";140;2
"141";141;0
"142";142;0
"143";143;4
"144";144;4
"145";145;4
"146";146;0
"147";147;2
"148";148;5
"149";149;2
"150";150;2
"151";151;0
"152";152;5
"153";153;1
"154";154;0
"155";155;0
"156";156;1
"157";157;2
"158";158;0
"159";159;0
"160";160;5
"161";161;4
"162";162;1
"163";163;1
"164";164;4
"165";165;1
"166";166;0
"167";167;2
"168";168;5
"169";169;5
"170";170;2
"171";171;5
"172";172;5
"173";173;4
"174";174;4
"175";175;0
"176";176;4
"177";177;0
"178";178;3
"179";179;4
"180";180;4
"181";181;0
"182";182;4
"183";183;0
"184";184;3
"185";185;2
"186";186;2
"187";187;4
"188";188;1
"189";189;1
"190";190;5
"191";191;5
"192";192;5
"193";193;1
"194";194;5
"195";195;2
"196";196;1
"197";197;2
"198";198;3
"199";199;3
"200";200;3
"201";201;4
"202";202;1
"203";203;2
"204";204;4
"205";205;4
"206";206;1
"207";207;4
"208";208;3
"209";209;3
"210";210;3
"211";211;0
"212";212;0
"213";213;0
"214";214;0
"215";215;3
"216";216;3
"217";217;3
"218";218;5
"219";219;1
"220";220;1
"221";221;2
"222";222;3
"223";223;3
"224";224;3
"225";225;3
"226";226;4
"227";227;4
"228";228;5
"229";229;1
"230";230;0
"231";231;4
"232";232;3
"233";233;3
"234";234;3
"235";235;4
"236";236;2
"237";237;1
"238";238;2
"239";239;2
"240";240;2
"241";241;0
"242";242;4
"243";243;2
"244";244;0
"245";245;3
"246";246;3
"247";247;3
"248";248;3
"249";249;1
"250";250;1
"251";251;1
"252";252;0
"253";253;1
"254";254;3
"255";255;3
"256";256;3
"257";257;3
"258";258;1
"259";259;2
"260";260;2
"261";261;1
"262";262;5
"263";263;5
"264";264;5
"265";265;5
"266";266;3
"267";267;3
"268";268;3
