"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"adolescente";-0,406002501557418;1,23181363196658;-0,0958096022849362;-0,312181968100079;0,947161661528455;-0,0736695712205292;0,198510698749403;0,797547430296676;0,00394187095392244;0,00067720573071137;0,00623380506550351;3,77121489411668e-05;0,00410830999066293;0,777682583742079;0,00248466562525241
"situação";-0,644554404326997;-0,368496360784553;0,594580961067778;-0,677627983143254;-0,387404762232275;0,625090286807402;0,691521524528221;0,0986490613780169;0,209829414093761;0,00380150674635465;0,00124251892206564;0,00323488318281043;0,00915032679738562;0,661488581077084;0,004003882353291
"ação";-0,477114703199517;1,26252503504332;-0,212979608750933;-0,34918400186748;0,92399907451595;-0,155872522060428;0,242294893680061;0,740489095011189;0,0172160113087509;0,00212547563033766;0,0148830015323168;0,000423532341211024;0,00933706816059757;0,827210983376492;0,00638915042967976
"desprover";1,63310459301554;-0,26081326419031;0,114959649102471;0,98510905312804;-0,157325812950735;0,0693450937310474;0,987265374215558;0,0109901915835479;0,00174443420089266;0,0244042016759467;0,000622437792736248;0,00012092816529718;0,00915032679738562;1,40269313036578;0,0180037073540229
"destituição";-0,507656678874553;0,804882660243226;0,0966367183481646;-0,53074468130054;0,841488369545678;0,101031713786042;0,473918267042852;0,519958152675933;0,00612358028121687;0,00240630535579777;0,00604888979234559;8,7195661373506e-05;0,00933706816059757;0,629338067837103;0,00369809900680614
"proteção";-0,509017180999913;1,63149560070171;-0,347533047555617;-0,291861911150119;0,93547220374452;-0,199269618459941;0,176990272461222;0,793590276738191;0,0294194508005882;0,00145153215996133;0,014911920981003;0,000676634280914816;0,00560224089635854;1,03257918247761;0,00597321998927799
"filho";-0,683866461084122;-0,819468084505682;-0,936580141145311;-0,481598053205087;-0,577092541628667;-0,65956615554896;0,435631862517263;0,273011614753445;0,291356522729292;0,00410469595144704;0,00589389603204489;0,00769889280243235;0,00877684407096172;0,884254155071729;0,00686266186849599
"guarda";-0,571803129289172;-0,198894931384868;0,0779973040690691;-0,936751020298273;-0,325837723446083;0,127778339125292;0,943893023970089;0,0498444905328436;0,00626248549706644;0,00274755309802428;0,000332430199416734;5,11225163196876e-05;0,00840336134453781;0,502285640020878;0,00212009129555616
"substituto";-0,416218291210723;0,760930376528675;0,365819057492776;-0,442166264770804;0,808368467809561;0,388625030781419;0,365734244327223;0,53352300982071;0,100742745852069;0,00122932424008557;0,00410879018508211;0,000949635134891935;0,00709617180205415;0,587359464853864;0,00244811640639213
"art";-0,553635409139704;0,953368467465339;0,238457534523247;-0,490830513137278;0,845217495792132;0,211406698522712;0,42365925069499;0,548315537489294;0,0280252118157179;0,00120200849511093;0,00356435856767533;0,000222988218709433;0,00392156862745098;0,725907250806562;0,0020664366147982
"dever";-0,0882370800312392;0,545076141329911;-0,264714394856243;-0,144096793990912;0,890144193560915;-0,432295533901669;0,0479280949916163;0,798256137443315;0,153815767565068;3,34403347761166e-05;0,00127609411699037;0,000300970186632018;0,00429505135387488;0,343970871516535;0,000508173126123703
"manter";-0,280797841273903;0,530635108317666;0,624368610076702;-0,324181835348218;0,612619607523347;0,720835178184445;0,231393878417331;0,360658611674378;0,407947509908294;0,000559514892854377;0,00199809476952632;0,00276634437487699;0,00709617180205415;0,498176749421991;0,00176112844057089
"apelação";0,827559277076343;0,29370404232749;0,2093662515452;0,916713140272928;0,325345099029141;0,231921506093474;0,927818025343772;0,0510063726254934;0,0211756020307332;0,00460406290470669;0,000579913038517703;0,000294683880914878;0,00672268907563025;0,733218360080988;0,00361417925082255
"negligência";-0,630904400213377;-0,194316266025867;0,880374689550626;-0,573346031772527;-0,17658849739692;0,800056767009563;0,576125557087825;0,0238532934129745;0,400021149499199;0,00208125679586196;0,000197431692769858;0,00405259918432084;0,00522875816993464;0,709366391318139;0,00263111465166912
"manutenção";-0,289297860547355;1,34397020768219;0,0410632108205017;-0,210342247617859;0,977171810674478;0,0298561767516993;0,0959075687857453;0,903403420339683;0,000689010874573979;0,000562643711712787;0,0121428969353768;1,13357128261443e-05;0,00672268907563025;0,797231414478644;0,00427279279483442
"genitor";-0,619404262724522;0,0519371658624473;-0,269439816972205;-0,914298961220619;0,0766641427165925;-0,397718516959454;0,934106172055788;0,00286644996413579;0,0630273779800751;0,0027941744139255;1,96454339337276e-05;0,000528723582414679;0,00728291316526611;0,546942525406014;0,0021786552600939
"melhor";-0,197571686829429;1,86549680147294;-0,41372953719374;-0,102847739983966;0,971101340772832;-0,21537067657738;0,0241107336428922;0,938188351137166;0,0377009152199422;0,000211391703391626;0,0188463624972675;0,00092698258981323;0,00541549953314659;1,08588820973397;0,00638570362598289
"caso";-0,684830578451272;-0,82165235990507;-1,09816833007039;-0,446726683578161;-0,535977868606051;-0,716353958978222;0,392897845592027;0,246847982858467;0,360254171549506;0,00324047396521576;0,0046646435518002;0,00833259126111578;0,0069094304388422;0,932414337004465;0,00600703461185894
"materno";-0,586474132526317;-0,597845495453484;-0,882405059956562;-0,482077165675488;-0,491424337367753;-0,725330081395328;0,442326668677263;0,200614968159506;0,35705836316323;0,00224805168707514;0,00233607344074524;0,00508914176364015;0,0065359477124183;0,752563103219861;0,00370164198907129
"adoção";-0,532844743942782;0,0423897321828159;0,856734387293399;-0,527668839141691;0,0419779701811895;0,84841230909171;0,519591720156364;0,00143523231427753;0,478973047529358;0,00185570928854542;1,17443751276527e-05;0,00479734516582351;0,0065359477124183;0,630863204796045;0,00260123126251985
"avô";-0,576388127633512;-0,535320050739465;-1,27036443087443;-0,385751790213469;-0,358266692198792;-0,850200290289317;0,3216860003391;0,121106969717096;0,557207029943804;0,00198527446454896;0,00171244851823688;0,00964377687981133;0,00597572362278245;0,867290459023526;0,00449489592717528
"extenso";-0,567671026882729;-0,780716549321456;2,05678770572412;-0,249851323872924;-0,343619903394794;0,905262215023857;0,153690544351081;0,126876289952825;0,719433165696092;0,00174514686239041;0,00330084623364102;0,0229095974465208;0,00541549953314659;1,23577321332521;0,00827020123405994
