"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"151";2;5;7;8;11;13;14;14;14
"152";2;5;7;8;11;13;14;14;14
"153";2;5;7;8;11;13;15;15;15
"154";2;5;7;8;11;13;14;14;14
"155";2;5;7;8;11;13;14;14;14
"156";3;3;3;3;3;3;3;3;3
"157";2;5;7;8;11;12;12;17;19
"158";2;5;7;8;10;10;10;10;10
"159";2;4;4;4;4;4;4;4;4
"160";2;4;4;4;4;4;4;4;4
"161";2;5;7;8;11;12;12;17;19
"162";2;5;7;8;11;13;15;15;15
"163";2;5;7;8;11;12;12;17;19
"164";3;3;3;3;3;3;3;3;3
"165";2;5;7;8;11;12;12;17;19
"166";2;5;7;8;10;10;10;10;10
"167";2;4;4;4;4;4;4;4;4
"168";2;5;7;8;11;13;15;15;15
"169";3;3;3;3;3;3;3;3;3
"170";2;5;7;8;11;12;12;17;19
"171";2;5;7;8;11;12;12;16;16
"172";2;5;7;8;11;13;15;15;15
"173";2;5;7;8;11;13;15;15;15
"174";3;3;3;3;3;3;3;3;3
"175";2;5;7;8;11;12;12;17;19
"176";2;5;7;8;10;10;10;10;10
"177";2;4;4;4;4;4;4;4;4
"178";2;5;7;8;11;12;12;16;16
"179";3;3;3;3;3;3;3;3;3
"180";2;5;7;8;11;12;12;17;19
"181";2;5;7;8;10;10;10;10;10
"182";2;4;4;4;4;4;4;4;4
"183";2;5;7;8;11;13;15;15;15
"184";2;5;7;8;11;13;15;15;15
"185";3;3;3;3;3;3;3;3;3
"186";2;5;7;8;11;12;12;17;19
"187";2;5;7;8;10;10;10;10;10
"188";2;4;4;4;4;4;4;4;4
"189";2;4;4;4;4;4;4;4;4
"190";2;5;7;8;11;13;15;15;15
"191";3;3;3;3;3;3;3;3;3
"192";2;5;7;8;11;12;12;17;19
"193";3;3;3;3;3;3;3;3;3
"194";2;5;7;8;11;12;12;17;19
"195";2;5;7;8;11;13;14;14;14
"196";2;5;7;8;10;10;10;10;10
"197";3;3;3;3;3;3;3;3;3
"198";2;5;7;8;11;12;12;17;19
"199";2;5;7;8;10;10;10;10;10
"200";2;4;4;4;4;4;4;4;4
"201";2;4;4;4;4;4;4;4;4
"202";2;5;7;8;11;13;14;14;14
"203";2;5;7;8;11;12;12;17;19
"204";3;3;3;3;3;3;3;3;3
"205";2;5;7;8;11;13;14;14;14
"206";2;5;7;8;11;13;14;14;14
"207";2;5;7;8;11;13;15;15;15
"208";2;5;7;8;11;13;14;14;14
"209";2;5;7;8;11;13;14;14;14
"210";2;5;7;8;11;13;14;14;14
"211";2;5;7;8;11;13;15;15;15
"212";3;3;3;3;3;3;3;3;3
"213";2;5;7;8;11;12;12;16;16
"214";2;5;7;8;11;13;15;15;15
"215";2;5;7;8;11;12;12;17;19
"216";2;5;7;8;11;13;14;14;14
"217";2;5;7;8;11;13;15;15;15
"218";3;3;3;3;3;3;3;3;3
"219";2;5;7;8;10;10;10;10;10
"220";2;4;4;4;4;4;4;4;4
"221";2;4;4;4;4;4;4;4;4
"222";2;5;7;8;11;12;12;16;16
"223";2;5;7;8;11;12;12;16;16
"224";2;5;7;8;11;13;14;14;14
"225";2;5;7;8;11;13;14;14;14
"226";3;3;3;3;3;3;3;3;3
"227";2;5;7;8;11;12;12;17;19
"228";2;5;7;8;11;13;14;14;14
"229";3;3;3;3;3;3;3;3;3
"230";2;5;7;8;11;13;15;15;15
"231";2;5;7;8;11;12;12;16;16
"232";2;5;7;8;11;13;15;15;15
"233";2;5;7;8;11;13;15;15;15
"234";2;5;7;8;11;13;14;14;14
"235";2;5;7;8;11;13;15;15;15
"236";3;3;3;3;3;3;3;3;3
"237";2;5;7;8;11;12;12;17;19
"238";2;5;7;8;10;10;10;10;10
"239";2;4;4;4;4;4;4;4;4
"240";2;5;7;8;11;13;15;15;15
"241";2;5;7;8;11;13;15;15;15
"242";2;5;7;8;11;13;14;14;14
"243";3;3;3;3;3;3;3;3;3
"244";2;5;7;8;11;12;12;17;19
"245";2;5;7;8;10;10;10;10;10
"246";2;4;4;4;4;4;4;4;4
"247";2;5;7;8;11;13;14;14;14
"248";2;5;7;8;11;13;15;15;15
"249";3;3;3;3;3;3;3;3;3
"250";2;5;7;8;11;12;12;17;19
"251";2;5;7;8;11;13;15;15;15
"252";2;5;7;8;11;13;14;14;14
"253";2;5;7;8;11;12;12;17;19
"254";3;3;3;3;3;3;3;3;3
"255";3;3;3;3;3;3;3;3;3
"256";2;5;7;8;11;12;12;16;16
"257";2;5;7;8;11;12;12;17;19
"258";3;3;3;3;3;3;3;3;3
"259";2;5;7;8;11;12;12;17;19
"260";2;5;7;8;11;12;12;17;19
"261";2;5;7;8;11;12;12;16;16
"262";2;5;7;8;11;12;12;16;16
"263";3;3;3;3;3;3;3;3;3
"264";2;5;7;8;11;12;12;17;19
"265";2;4;4;4;4;4;4;4;4
"266";2;4;4;4;4;4;4;4;4
"267";2;5;7;8;11;13;15;15;15
"268";2;5;7;8;11;13;15;15;15
"269";2;5;7;8;11;13;15;15;15
"270";2;5;7;8;11;12;12;17;19
"271";3;3;3;3;3;3;3;3;3
"272";2;5;7;8;11;12;12;17;19
"273";2;5;7;8;11;12;12;17;19
"274";2;5;7;8;11;12;12;16;16
"275";3;3;3;3;3;3;3;3;3
"276";2;5;7;8;11;12;12;17;19
"277";3;3;3;3;3;3;3;3;3
"278";3;3;3;3;3;3;3;3;3
"279";2;5;7;8;11;13;14;14;14
"280";2;5;7;8;11;13;15;15;15
"281";2;5;7;8;11;12;12;17;19
"282";2;5;7;8;11;12;12;16;16
"283";3;3;3;3;3;3;3;3;3
"284";3;3;3;3;3;3;3;3;3
"285";2;5;7;8;11;12;12;16;16
"286";2;5;7;8;11;12;12;17;19
"287";3;3;3;3;3;3;3;3;3
"288";2;5;7;8;11;12;12;17;19
"289";2;5;7;8;11;13;14;14;14
"290";2;5;7;8;10;10;10;10;10
"291";3;3;3;3;3;3;3;3;3
"292";2;5;7;9;9;9;9;9;9
"293";2;5;7;9;9;9;9;9;9
"294";2;5;7;8;11;12;12;16;16
"295";2;5;7;8;11;12;12;17;19
"296";2;5;7;8;11;13;14;14;14
"297";2;5;7;8;11;13;14;14;14
"298";2;5;7;8;11;12;12;17;19
"299";3;3;3;3;3;3;3;3;3
"300";2;5;7;8;11;12;12;17;19
"301";2;5;7;8;11;12;12;17;19
"302";2;5;7;8;11;13;15;15;15
"303";2;5;7;8;11;12;12;16;16
"304";3;3;3;3;3;3;3;3;3
"305";2;5;7;8;11;12;12;17;19
"306";2;5;7;8;11;13;15;15;15
"307";2;5;7;8;11;13;14;14;14
"308";2;5;7;8;11;12;12;17;19
"309";3;3;3;3;3;3;3;3;3
"310";2;5;7;8;11;12;12;17;19
"311";2;5;7;8;11;12;12;16;16
"312";2;5;7;8;11;13;15;15;15
"313";3;3;3;3;3;3;3;3;3
"314";2;5;7;8;11;12;12;17;19
"315";2;5;7;8;11;12;12;16;16
"316";2;5;7;8;11;13;15;15;15
"317";3;3;3;3;3;3;3;3;3
"318";3;3;3;3;3;3;3;3;3
"319";2;5;7;8;11;12;12;17;19
"320";2;5;7;8;11;13;15;15;15
"321";2;5;7;8;11;13;15;15;15
"322";2;5;7;8;11;13;15;15;15
"323";2;5;7;8;11;13;15;15;15
"324";3;3;3;3;3;3;3;3;3
"325";2;5;7;8;11;12;12;17;19
"326";2;5;7;8;11;12;12;17;18
"327";2;5;6;6;6;6;6;6;6
"328";2;5;7;9;9;9;9;9;9
"329";2;5;7;8;11;13;15;15;15
"330";2;5;7;8;11;13;14;14;14
"331";2;5;7;8;11;12;12;17;18
"332";3;3;3;3;3;3;3;3;3
"333";2;5;7;8;11;12;12;17;19
"334";2;5;7;8;11;12;12;17;18
"335";2;5;6;6;6;6;6;6;6
"336";2;5;7;9;9;9;9;9;9
"337";2;5;7;8;11;13;15;15;15
"338";2;5;7;8;11;13;14;14;14
"339";2;5;7;8;11;12;12;17;18
"340";3;3;3;3;3;3;3;3;3
"341";2;5;7;8;11;12;12;17;19
"342";2;5;7;8;11;13;15;15;15
"343";2;5;7;8;11;13;15;15;15
"344";2;5;7;8;11;13;15;15;15
"345";2;5;7;8;11;13;15;15;15
"346";2;5;7;8;11;13;15;15;15
"347";3;3;3;3;3;3;3;3;3
"348";3;3;3;3;3;3;3;3;3
"349";2;5;7;8;11;12;12;17;19
"350";2;5;7;8;11;13;14;14;14
"351";2;5;7;8;10;10;10;10;10
"352";3;3;3;3;3;3;3;3;3
"353";2;5;7;8;11;12;12;17;19
"354";2;5;7;8;11;12;12;17;19
"355";2;5;7;8;11;13;15;15;15
"356";2;5;7;8;11;12;12;16;16
"357";3;3;3;3;3;3;3;3;3
"358";3;3;3;3;3;3;3;3;3
"359";2;5;7;8;11;12;12;17;19
"360";2;5;7;8;11;13;15;15;15
"361";2;5;7;8;11;13;15;15;15
"362";2;5;7;8;11;12;12;16;16
"363";2;5;7;8;11;13;15;15;15
"364";3;3;3;3;3;3;3;3;3
"365";2;5;7;8;11;13;14;14;14
"366";2;5;7;8;11;13;14;14;14
"367";0;0;0;0;0;0;0;0;0
"368";2;5;7;8;11;13;14;14;14
"369";2;5;7;8;11;13;15;15;15
"370";2;5;7;8;11;13;14;14;14
"371";2;5;7;8;11;12;12;16;16
"372";2;5;7;8;11;13;14;14;14
"373";3;3;3;3;3;3;3;3;3
"374";2;5;7;8;11;12;12;17;19
