casal;0;4;2;0
cabimento;0;0;0;6
apelo;5;1;1;0
adequado;1;1;4;1
tutelar;0;2;3;1
superar;0;0;1;2
sempre;0;0;0;3
ocorrer;0;4;2;0
necessário;1;1;1;1
mérito;0;0;1;2
material;0;1;2;2
joão;6;0;0;0
inserir;0;6;0;0
indicar;0;0;3;1
ii;0;1;1;1
hipótese;0;2;1;3
físico;0;2;1;3
existência;0;3;2;0
exercício;1;1;2;1
estabelecer;0;3;0;1
especialmente;0;2;3;0
episódio;0;2;4;0
entidade;0;0;2;2
embora;0;1;2;0
deferir;0;1;1;4
decorrente;0;1;2;3
costa;6;0;0;0
convívio;0;0;3;2
contar;0;1;4;1
conflito;1;1;1;1
comportamento;0;3;1;2
cna;0;1;0;2
até;1;1;2;2
atualmente;0;2;3;0
apenas;0;3;2;1
afastamento;0;0;0;4
ademais;0;4;0;0
visar;0;0;1;2
vir;0;0;4;0
vinculação;0;1;4;0
usuário;0;4;0;1
tjrs;3;0;0;2
tenro;0;2;1;2
suspenso;0;2;2;0
suficiente;0;0;1;3
sofrer;0;4;1;0
sentido;0;0;3;1
retornar;0;4;1;0
restabelecimento;0;0;1;4
reintegração;0;2;0;1
recomendar;0;0;4;0
proporcionar;0;0;5;0
programa;0;0;0;4
produzir;0;0;5;0
postular;1;0;3;1
porque;0;1;2;0
pessoa;0;1;4;0
permitir;0;1;0;2
legal;0;1;1;3
laço;0;0;4;1
lado;0;2;1;2
junto;0;0;3;0
judicial;0;0;1;3
instituição;0;3;0;1
inexistência;0;4;1;0
inexistir;0;0;1;4
indício;0;4;1;0
impor;1;0;3;0
fundamento;0;0;0;4
filial;0;0;4;0
excepcional;0;0;0;4
embargo;2;0;0;2
efeito;1;0;2;1
eduardo;5;0;0;0
dia;2;2;1;0
devido;1;0;2;1
destituir;0;4;1;0
depois;0;2;3;0
demanda;0;0;4;1
declaração;2;1;0;1
conselho;0;2;3;0
autorização;0;0;0;5
atual;0;0;5;0
assunto;4;1;0;0
aptar;0;1;0;4
aproximação;0;3;1;1
antes;0;0;3;0
adotar;0;4;0;0
viver;0;2;2;0
vista;0;0;4;0
violação;0;4;0;0
tutela;0;0;0;4
transitar;0;1;0;2
tampouco;0;0;4;0
suspender;0;0;1;3
seguro;1;0;1;1
réu;0;2;1;0
roberto;4;0;0;0
restauração;0;2;0;2
referência;0;4;0;0
recomendado;1;1;0;2
recente;0;1;3;0
quo;0;0;0;3
pátrio;1;1;0;1
psíquico;0;0;1;3
procedimento;0;0;1;3
pleno;1;2;0;1
perspectiva;0;3;0;0
permanecer;0;2;1;1
pena;0;2;1;1
parágrafo;0;2;2;0
parente;0;4;0;0
parecer;0;1;1;2
omissão;0;1;1;2
observância;0;0;1;2
nascer;0;4;0;0
narrar;0;0;3;1
mudança;0;1;1;2
motivo;0;1;0;3
merecer;3;0;0;0
menos;1;1;2;0
menino;1;1;2;0
lorea;4;0;0;0
liminar;0;0;0;3
jamais;0;4;0;0
intervenção;0;0;1;2
informar;0;0;4;0
indenização;0;4;0;0
indeferir;0;0;0;3
indeferimento;1;1;1;0
inaptidão;1;1;0;2
grau;0;2;1;1
função;0;0;4;0
formação;0;0;1;3
execução;4;0;0;0
exame;0;0;2;2
estágio;0;0;3;0
estudo;0;1;2;1
entanto;0;0;4;0
diverso;0;1;3;0
determinação;1;0;1;2
desenvolver;0;3;0;0
deferimento;2;0;2;0
consolidado;0;0;0;4
conjunto;0;1;1;1
conduta;0;2;2;0
comprovar;1;1;1;1
colocar;0;4;0;0
cerceamento;0;2;0;1
causar;0;1;3;0
busca;0;1;1;2
benefício;0;1;2;0
avaliação;1;1;2;0
arts;0;0;0;3
arriar;4;0;0;0
apto;0;1;3;0
abuso;0;1;2;1
zietlow;3;0;0;0
viável;0;0;2;1
uso;0;0;2;1
tudo;0;0;1;2
tramitação;0;1;2;0
sogro;0;2;0;1
sobretudo;0;1;1;1
rol;0;0;0;3
responsabilidade;0;3;0;0
recorrido;1;0;1;1
quase;0;2;1;0
quadro;0;2;1;0
proximidade;0;3;0;0
ppa;0;0;0;3
posteriormente;0;2;0;1
posterior;0;1;0;2
perpetrar;0;1;2;0
penal;3;0;0;0
passo;0;3;0;0
partir;0;2;1;0
parentesco;0;2;1;0
parcialmente;1;0;0;2
obstante;0;1;2;0
notório;0;2;1;0
necessitar;0;2;0;1
nacional;0;0;1;2
mostrar;0;0;2;1
moral;0;2;1;0
modificação;1;0;0;2
manifestar;1;1;1;0
lar;0;0;1;2
isolado;0;3;0;0
interessado;0;1;1;1
integridade;0;1;0;2
integrante;0;3;0;0
independentemente;0;0;0;3
inclusão;0;0;0;3
habilitar;0;2;1;0
habilitado;0;1;0;2
fundamental;0;2;1;0
expressamente;0;2;1;0
exclusivo;0;3;0;0
evidente;0;0;2;1
eventual;0;0;2;1
envolver;0;0;1;2
encaminhar;0;1;2;0
elaborar;0;0;3;0
educar;0;2;1;0
duro;3;0;0;0
documento;0;1;2;0
denotar;0;2;0;1
dado;0;0;1;2
cumular;0;0;0;3
criminal;2;1;0;0
crime;0;2;1;0
conviver;0;1;2;0
contraindica;0;0;3;0
configuração;0;3;0;0
comparecer;0;0;3;0
companheiro;0;0;2;1
claro;0;0;3;0
casa;0;0;3;0
carlos;3;0;0;0
augusto;3;0;0;0
atenção;0;1;2;0
apelar;0;2;1;0
análise;0;0;2;1
alto;0;1;2;0
ajuizado;0;1;1;1
afinidade;0;2;1;0
afetividade;0;2;1;0
acompanhamento;0;1;1;1
abrigamento;0;1;1;1
