"";"X1";"X2";"dist"
"1";"X.rel_CARLOS_EDUARDO_ZIETLOW_DURO";"X.rel_EDUARDO_AUGUSTO_DIAS_BAINY";0,344924406047516
"2";"X.rel_CARLOS_EDUARDO_ZIETLOW_DURO";"X.rel_GLAUCIA_DIPP_DREHER";0,35397652058803
"3";"X.rel_CARLOS_EDUARDO_ZIETLOW_DURO";"X.rel_JANE_MARIA_KÖHLER_VIDAL";0,433551992225462
"4";"X.rel_CARLOS_EDUARDO_ZIETLOW_DURO";"X.rel_JOSÉ_ANTÔNIO_DALTOE_CEZAR";0,334338863750628
"5";"X.rel_CARLOS_EDUARDO_ZIETLOW_DURO";"X.rel_JOÃO_RICARDO_DOS_SANTOS_COSTA";0,267953348487173
"6";"X.rel_CARLOS_EDUARDO_ZIETLOW_DURO";"X.rel_LEANDRO_FIGUEIRA_MARTINS";0,340440938280074
"7";"X.rel_CARLOS_EDUARDO_ZIETLOW_DURO";"X.rel_LISELENA_SCHIFINO_ROBLES_RIBEIRO";0,433248081841432
"8";"X.rel_CARLOS_EDUARDO_ZIETLOW_DURO";"X.rel_LUIZ_AUGUSTO_GUIMARAES_DE_SOUZA";0,374602613917344
"9";"X.rel_CARLOS_EDUARDO_ZIETLOW_DURO";"X.rel_LUIZ_FELIPE_BRASIL_SANTOS";0,330240273241806
"10";"X.rel_CARLOS_EDUARDO_ZIETLOW_DURO";"X.rel_MANUEL_JOSÉ_MARTINEZ_LUCAS";0,366039426523298
"11";"X.rel_CARLOS_EDUARDO_ZIETLOW_DURO";"X.rel_MAURO_CAUM_GONÇALVES";0,342093212414659
"12";"X.rel_CARLOS_EDUARDO_ZIETLOW_DURO";"X.rel_RICARDO_MOREIRA_LINS_PASTL";0,453586337760911
"13";"X.rel_CARLOS_EDUARDO_ZIETLOW_DURO";"X.rel_ROBERTO_ARRIADA_LOREA";0,340752252014961
"14";"X.rel_CARLOS_EDUARDO_ZIETLOW_DURO";"X.rel_ROSANA_BROGLIO_GARBIN";0,401617498391692
"15";"X.rel_CARLOS_EDUARDO_ZIETLOW_DURO";"X.rel_RUI_PORTANOVA";0,423847471512624
"16";"X.rel_CARLOS_EDUARDO_ZIETLOW_DURO";"X.rel_SANDRA_BRISOLARA_MEDEIROS";0,35354913776386
"17";"X.rel_CARLOS_EDUARDO_ZIETLOW_DURO";"X.rel_VERA_LUCIA_DEBONI";0,363898202605398
"18";"X.rel_EDUARDO_AUGUSTO_DIAS_BAINY";"X.rel_GLAUCIA_DIPP_DREHER";0,305171530977983
"19";"X.rel_EDUARDO_AUGUSTO_DIAS_BAINY";"X.rel_JANE_MARIA_KÖHLER_VIDAL";0,367063492063492
"20";"X.rel_EDUARDO_AUGUSTO_DIAS_BAINY";"X.rel_JOSÉ_ANTÔNIO_DALTOE_CEZAR";0,304802770249925
"21";"X.rel_EDUARDO_AUGUSTO_DIAS_BAINY";"X.rel_JOÃO_RICARDO_DOS_SANTOS_COSTA";0,263929193267557
"22";"X.rel_EDUARDO_AUGUSTO_DIAS_BAINY";"X.rel_LEANDRO_FIGUEIRA_MARTINS";0,333216619981326
"23";"X.rel_EDUARDO_AUGUSTO_DIAS_BAINY";"X.rel_LISELENA_SCHIFINO_ROBLES_RIBEIRO";0,408235294117647
"24";"X.rel_EDUARDO_AUGUSTO_DIAS_BAINY";"X.rel_LUIZ_AUGUSTO_GUIMARAES_DE_SOUZA";0,390626916942706
"25";"X.rel_EDUARDO_AUGUSTO_DIAS_BAINY";"X.rel_LUIZ_FELIPE_BRASIL_SANTOS";0,296353972398359
"26";"X.rel_EDUARDO_AUGUSTO_DIAS_BAINY";"X.rel_MANUEL_JOSÉ_MARTINEZ_LUCAS";0,362222222222222
"27";"X.rel_EDUARDO_AUGUSTO_DIAS_BAINY";"X.rel_MAURO_CAUM_GONÇALVES";0,352950188707447
"28";"X.rel_EDUARDO_AUGUSTO_DIAS_BAINY";"X.rel_RICARDO_MOREIRA_LINS_PASTL";0,421225832990539
"29";"X.rel_EDUARDO_AUGUSTO_DIAS_BAINY";"X.rel_ROBERTO_ARRIADA_LOREA";0,355184815184815
"30";"X.rel_EDUARDO_AUGUSTO_DIAS_BAINY";"X.rel_ROSANA_BROGLIO_GARBIN";0,350940170940171
"31";"X.rel_EDUARDO_AUGUSTO_DIAS_BAINY";"X.rel_RUI_PORTANOVA";0,403401143343672
"32";"X.rel_EDUARDO_AUGUSTO_DIAS_BAINY";"X.rel_SANDRA_BRISOLARA_MEDEIROS";0,355572623314559
"33";"X.rel_EDUARDO_AUGUSTO_DIAS_BAINY";"X.rel_VERA_LUCIA_DEBONI";0,37811209439528
"34";"X.rel_GLAUCIA_DIPP_DREHER";"X.rel_JANE_MARIA_KÖHLER_VIDAL";0,399275593906466
