"";"X1";"X2";"dist"
"1";"X.tipo_proc_agravo_de_execução_penal";"X.tipo_proc_agravo_de_instrumento";0,364203459877056
"2";"X.tipo_proc_agravo_de_execução_penal";"X.tipo_proc_apelação_cível";0,419472805811899
"3";"X.tipo_proc_agravo_de_execução_penal";"X.tipo_proc_conflito_de_competência";0,409578610366012
"4";"X.tipo_proc_agravo_de_execução_penal";"X.tipo_proc_reexame_necessário";0,401325992555831
"5";"X.tipo_proc_agravo_de_instrumento";"X.tipo_proc_apelação_cível";0,202012212612813
"6";"X.tipo_proc_agravo_de_instrumento";"X.tipo_proc_conflito_de_competência";0,356651789599314
"7";"X.tipo_proc_agravo_de_instrumento";"X.tipo_proc_reexame_necessário";0,357912495038873
"8";"X.tipo_proc_apelação_cível";"X.tipo_proc_conflito_de_competência";0,381172990307994
"9";"X.tipo_proc_apelação_cível";"X.tipo_proc_reexame_necessário";0,405448031613254
"10";"X.tipo_proc_conflito_de_competência";"X.tipo_proc_reexame_necessário";0,39832967032967
