criança;25;5;5;11;18;26
acolhimento_institucional;11;3;2;9;15;30
poder_familiar;4;10;2;8;17;25
convivência;14;7;3;4;14;14
agravo_de_instrumento;9;0;2;3;10;32
infante;9;9;5;5;13;18
decisão;8;0;4;1;3;30
familiar;17;0;3;4;7;15
menor;2;12;6;2;12;12
eca;18;7;0;2;10;16
direito;21;5;0;2;5;8
ação;6;6;0;4;9;23
destituição;0;10;0;3;13;19
desprover;6;8;6;3;1;15
manter;4;14;1;2;6;9
guarda;0;10;5;4;13;4
dever;21;0;3;3;4;7
filho;0;2;7;14;4;8
família_substituta;11;8;1;2;2;14
adolescente;13;0;1;2;3;7
negligência;4;7;3;1;6;8
situação;3;7;10;3;12;2
caso;3;4;0;2;4;19
genitor;0;1;5;0;11;12
manutenção;9;3;3;2;3;13
família;17;0;2;1;1;7
materno;0;0;5;5;13;4
adoção;1;11;1;1;4;9
art;15;0;0;0;4;2
interesse;5;6;4;1;4;8
avô;2;0;3;4;11;2
princípio;8;5;1;0;1;9
melhor_interesse;4;5;0;1;2;13
família_extensa;3;8;1;1;7;3
cuidado;2;2;6;3;8;4
auto;1;3;3;6;2;10
assegurar;19;0;0;1;0;1
pedido;1;1;1;0;6;10
medida;8;1;0;4;2;8
colocação;9;0;0;2;0;13
agravo;4;0;2;1;2;0
recurso;2;1;3;0;3;9
prevalência;3;13;0;0;0;4
genitora;2;3;3;8;0;6
condição;0;4;3;10;2;4
forma;4;0;4;3;0;2
sentença;3;9;1;3;4;0
mãe;1;5;3;6;0;1
medida_de_proteção;3;3;0;0;6;8
visita;2;0;0;4;3;5
acolher;2;3;1;1;2;9
medida_protetiva;1;8;0;0;2;5
idade;4;3;1;6;2;1
ano;2;2;1;6;2;2
vida;2;0;0;1;2;1
suspensão;2;0;2;0;1;8
exercer;1;2;2;7;2;2
constituição_federal;14;0;0;1;0;0
apelação_cível;1;4;0;1;7;0
acolhimento;2;0;2;1;7;1
saúde;1;0;2;1;0;0
proteção;8;0;4;0;1;3
prever;15;0;0;0;0;0
demonstrar;1;0;7;0;2;4
agravar;0;0;1;0;0;12
vínculo;2;2;5;2;4;0
situação_de_risco;0;6;1;1;1;3
preliminar;0;10;0;0;0;0
possibilidade;0;0;0;1;2;7
origem;7;0;5;0;0;3
contexto;0;0;5;2;2;4
artigo;10;2;0;0;0;0
aplicação;5;2;0;2;0;4
apelante;0;4;2;8;1;0
agravante;0;0;2;7;3;2
absoluto;6;0;0;1;1;0
violência;2;0;4;0;0;1
verificar;0;7;0;1;1;3
público;3;1;2;1;0;2
pretensão;2;0;0;2;4;5
juízo;0;1;3;1;0;8
estatuto_da_criança_e_do_adolescente;2;0;0;1;2;3
encontrar;1;4;1;3;5;0
citação;0;4;0;0;0;0
biológico;0;7;0;1;2;2
social;1;1;3;0;5;2
restar;1;3;2;0;4;1
proteção_integral;10;0;1;0;1;0
prejuízo;0;1;2;1;0;0
pai;1;1;2;4;0;3
elemento;0;0;2;2;2;5
descabimento;2;2;0;0;3;4
apresentar;1;4;6;0;0;0
sociedade;9;0;0;0;0;0
rejeitar;0;8;0;0;0;0
reforma;0;0;0;0;0;11
prioridade;4;0;0;0;0;0
precedente;0;1;0;0;0;3
pleito;2;2;0;0;4;4
paterno;1;0;0;0;5;3
opressão;3;0;4;0;0;1
julgar;1;1;0;0;1;5
jovem;4;0;0;0;1;0
inviabilidade;1;4;1;0;2;4
imediato;4;0;1;1;0;6
família_natural;4;4;0;1;1;2
exploração;2;0;3;0;0;1
discriminação;1;0;3;0;0;1
determinar;0;0;1;0;1;10
determinado;1;0;0;4;0;6
desacolhimento;0;0;0;0;10;2
crueldade;2;0;3;0;0;1
provimento;1;0;8;0;1;0
nascimento;0;8;0;0;1;1
momento;0;0;2;4;2;3
inserção;0;3;0;0;3;5
edital;0;3;0;0;0;0
dar;1;0;4;1;1;2
considerar;2;0;1;2;0;3
afetivo;0;3;0;4;4;0
abandono;0;6;0;0;3;2
unânime;1;0;9;0;0;0
tentativa;0;6;2;0;1;1
relação;1;0;0;0;2;1
razão;2;2;2;1;0;3
prova;0;0;1;3;1;5
proteger;0;0;4;0;0;4
possível;3;0;3;0;0;1
fato;0;5;1;0;1;0
acolhido;1;2;0;3;1;2
vulnerabilidade;1;2;2;1;3;0
visitação;0;0;0;1;3;1
técnica;1;0;2;0;2;4
realizar;0;2;0;0;1;0
provisório;1;0;0;1;3;4
nulidade;0;3;0;0;0;0
impossibilidade;1;3;0;2;2;1
falta;1;0;1;6;0;1
especial;1;5;1;0;0;0
equipa;2;0;3;0;1;3
desenvolvimento;2;0;0;3;0;4
decorrência;0;6;1;1;1;0
confirmar;0;6;0;0;0;0
concreto;0;2;0;0;1;6
autorizar;0;0;0;0;1;6
ausência;0;0;2;0;2;1
ausente;0;1;0;0;2;2
ambiente;1;0;0;7;0;1
reunir;1;0;1;2;1;3
recorrente;0;0;3;1;4;0
questão;0;0;1;0;2;2
possuir;0;0;1;7;0;0
observar;3;0;1;1;0;3
neto;1;0;0;5;2;0
negar;0;0;5;0;3;0
ministério;2;0;1;1;0;2
maior;0;3;5;0;0;0
atendimento;2;0;1;0;1;0
apelação;0;4;0;1;1;2
vez;2;0;1;0;0;0
tio;0;0;0;0;4;2
risco;1;0;0;0;5;0
retorno;0;0;1;0;2;4
processo;0;2;0;1;4;0
pretendente;0;4;0;0;1;1
presente;0;0;0;0;3;4
preconizar;5;0;0;0;0;0
parental;0;4;1;1;0;1
mínimo;2;0;0;1;3;1
modo;4;0;0;0;0;1
menina;0;0;0;5;1;1
melhor;3;0;1;0;0;3
laudo;0;0;3;0;1;3
irmão;0;0;2;1;4;0
histórico;1;0;2;0;1;1
evidenciar;2;0;0;4;0;0
droga;0;1;1;2;0;0
curador;0;5;0;0;0;0
contato;1;0;3;0;2;1
civil;1;2;0;0;0;1
cabimento;0;0;0;0;0;7
assumir;0;1;0;0;5;1
seio;5;0;0;0;1;0
residir;0;0;0;1;3;1
psicológico;0;0;1;1;2;0
próprio;1;0;2;2;1;0
protetivas;1;0;0;3;0;2
perda;0;0;1;1;3;1
núcleo;1;0;1;0;3;1
novo;0;0;2;0;3;0
mérito;0;2;0;0;0;1
longo;0;0;4;0;1;0
justificar;0;1;0;3;1;0
institucional;0;0;0;0;6;0
inserir;0;5;0;0;1;0
guardião;0;4;0;1;1;0
criar;4;0;0;1;0;1
cpc;0;2;0;0;1;0
constatar;0;0;0;2;4;0
atender;1;0;0;0;0;5
apelo;0;5;0;1;0;0
acercar;0;0;3;0;0;1
único;0;0;0;0;5;0
visar;1;0;0;1;1;2
tutelar;0;0;3;0;1;1
trato;0;3;0;0;1;0
tenro;3;2;0;0;0;0
suspenso;0;0;0;2;1;2
superar;0;0;0;0;3;0
suficiente;0;0;0;1;1;3
saudável;1;0;0;1;0;3
restabelecimento;1;0;0;2;2;0
relatório;0;0;5;0;0;0
recomendar;2;0;0;0;1;2
probatório;0;0;0;1;2;1
permitir;2;0;1;0;0;2
norteador;5;0;0;0;0;0
mau;0;3;0;0;1;0
instituição;2;0;1;1;1;0
inexistência;0;0;0;0;4;1
indicar;0;0;2;1;0;2
ignorar;2;0;0;1;2;0
grave;1;0;0;1;3;0
filial;0;0;1;1;1;2
excepcional;3;0;0;0;1;1
episódio;0;0;4;0;0;1
emocional;0;0;1;0;1;2
efeito;0;0;0;1;0;2
educado;5;0;0;0;0;0
demanda;0;0;1;3;1;0
deferir;0;0;1;0;0;4
convívio;0;0;2;0;0;3
contar;0;0;0;2;1;1
conflito;0;0;2;0;1;2
cna;3;0;0;0;1;1
casal;0;0;2;0;1;0
assunto;1;2;1;0;1;0
aproximação;0;0;1;0;0;4
adequado;1;0;0;3;0;1
vista;1;0;1;1;1;0
vir;0;0;3;0;0;1
violação;0;0;1;0;1;1
vinculação;0;1;0;1;2;0
tutela;2;0;0;0;1;1
transitar;1;0;0;0;1;1
termo;2;2;0;0;0;0
suspender;1;0;0;1;0;2
sofrer;0;2;2;0;0;0
sentido;1;0;0;1;0;2
ré;0;0;0;3;1;0
retornar;2;0;0;1;0;1
referência;2;2;0;0;0;0
rede;0;2;1;0;0;0
quo;0;1;0;0;0;3
pátrio;0;1;1;0;1;0
programa;0;0;1;0;1;2
produzir;0;0;0;3;0;1
procedimento;0;0;0;1;0;3
postular;0;1;0;2;0;1
