"";"";"";"";"nulidade";""
"80";"mínimo";"-0.595358703982477";"0.0330103492420956";"0.876534134094222";"285"
"81";"equipa";"-0.641083198763236";"0.572920974541401";"0.875437656528403";"286"
"82";"acolhido";"0.430554069284715";"0.00130143514170003";"0.875437656528403";"287"
"83";"desenvolvimento";"-0.665535748722485";"0.189613083888476";"0.875437656528403";"288"
"84";"ausência";"-0.00667306000516224";"1.55350786344818";"0.872888346187871";"289"
"85";"histórico";"-0.529657309553993";"0.837042884938522";"0.872888346187871";"290"
"86";"indicar";"-0.184096162154747";"1.55054566193767";"0.872888346187871";"291"
"87";"conflito";"-0.12768599373722";"1.4310622863956";"0.872888346187871";"292"
"88";"suspenso";"-0.0763537645336134";"1.05272320231381";"0.872888346187871";"293"
"89";"restabelecimento";"-0.357312146618329";"0.581149377909322";"0.872888346187871";"294"
"90";"psicológico";"0.105384375469484";"1.59381797174114";"0.869790797064431";"295"
"91";"probatório";"0.0567135620785755";"1.0549448534467";"0.869790797064431";"296"
"92";"relação";"-0.526504039335554";"0.0100094108820256";"0.869790797064431";"298"
"93";"grau";"0.0246309188263215";"1.29140678099781";"0.869790797064431";"299"
"94";"físico";"-0.0240398945645874";"0.75253366270337";"0.869790797064431";"300"
"95";"convivência";"-0.191150385659487";"-0.270992160219707";"0.869324794098957";"301"
"96";"visita";"-0.391748217887322";"0.498924626722707";"0.86863949562032";"302"
"97";"indeferir";"-0.261677811040186";"1.16491721113116";"0.867131838967317";"305"
"98";"mudança";"-0.261677811040186";"1.16491721113116";"0.867131838967317";"306"
"99";"efeito";"-0.218900953370514";"0.849634641063004";"0.867131838967317";"307"
"100";"restauração";"-0.124884006007969";"0.650495681826215";"0.867131838967317";"308"
"101";"recomendado";"0.881742290158709";"-0.433101901806311";"0.867131838967317";"309"
"102";"receber";"-0.124884006007969";"0.650495681826215";"0.867131838967317";"310"
"103";"posterior";"-0.124884006007969";"0.650495681826215";"0.867131838967317";"311"
"104";"nacional";"-0.996524421922687";"-0.543612615689889";"0.867131838967317";"312"
"105";"motivo";"-0.124884006007969";"0.650495681826215";"0.867131838967317";"313"
"106";"autorização";"-0.124884006007969";"0.650495681826215";"0.867131838967317";"315"
"107";"restar";"0.734754977847589";"0.0713383458189904";"0.866556188245262";"317"
"108";"medida_de_proteção";"0.0972102184148232";"-0.21121119528722";"0.864856648018241";"318"
"109";"tutela";"-1.18023435127159";"-0.885571812255052";"0.862334749616856";"320"
"110";"elemento";"-0.122433729113536";"1.16957701487445";"0.862115454103692";"325"
"111";"próprio";"-0.388138520586566";"1.17515394511852";"0.845257111529212";"327"
"112";"observar";"-1.01555631103415";"-0.246724503141229";"0.843365687728173";"328"
"113";"provisório";"-0.312310978509215";"0.454889876902651";"0.842241798223208";"330"
"114";"técnica";"-0.372167866076511";"0.731457910027017";"0.842241798223208";"331"
"115";"ignorar";"-0.823886227749633";"-0.254798976142414";"0.837088353663855";"332"
"116";"questão";"-0.0456097107178893";"1.12240936881263";"0.837088353663855";"334"
"117";"pretensão";"-0.399912754308676";"0.363958724104795";"0.834292335871014";"335"
"118";"vulnerabilidade";"0.536494979429442";"0.347540456356678";"0.832647619522285";"336"
"119";"recomendar";"-1.00950192679622";"-0.619173505789661";"0.831468906139028";"337"
"120";"instituição";"-0.905962510768963";"0.0538539414405526";"0.831468906139028";"339"
"121";"suspender";"-0.748282917022535";"0.00630665899388455";"0.826370285457966";"341"
"122";"sentido";"-0.748282917022535";"0.00630665899388455";"0.826370285457966";"342"
"123";"emocional";"-0.126635248338751";"1.13834980968208";"0.826370285457966";"344"
"124";"programa";"-0.126635248338751";"1.13834980968208";"0.826370285457966";"345"
"125";"público";"-0.514599545160438";"-0.223383188612757";"0.826178401883948";"346"
"126";"comportamento";"0.946636708013254";"0.285395589252945";"0.818064467896881";"349"
"127";"violação";"-0.0599895881534238";"1.36899317288547";"0.815898924704387";"352"
"128";"narrar";"-0.0599895881534238";"1.36899317288547";"0.815898924704387";"353"
"129";"comarca";"-0.0599895881534238";"1.36899317288547";"0.815898924704387";"354"
"130";"permanecer";"-0.729941781181379";"0.378960837123678";"0.815898924704387";"355"
"131";"manifestar";"-0.154006535515969";"1.56813213212226";"0.815898924704387";"356"
"132";"expor";"-0.729941781181379";"0.378960837123678";"0.815898924704387";"357"
"133";"desejo";"-0.0599895881534238";"1.36899317288547";"0.815898924704387";"358"
"134";"busca";"-0.0599895881534238";"1.36899317288547";"0.815898924704387";"359"
"135";"abrigamento";"-0.154006535515969";"1.56813213212226";"0.815898924704387";"360"
"136";"estímulo";"-0.687164923511707";"0.0636782670555221";"0.815898924704387";"361"
"137";"considerar";"-0.723947510327081";"0.275743218141105";"0.813760793451039";"362"
"138";"reunir";"-0.397082354359062";"0.723533829709645";"0.813760793451039";"363"
"139";"ministério";"-0.910241575233306";"0.017243590335289";"0.812856199459237";"364"
"140";"transitar";"-0.794836199035924";"-0.339536653935578";"0.802028483496767";"366"
"141";"avaliação";"0.860354097594493";"0.781119784016743";"0.801726952166166";"367"
"142";"vista";"-0.548345936466555";"0.69823674860406";"0.8003015313306";"368"
