"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"mass";"chi.distance";"inertie"
"classe 1";-1,4413090374786;-1,41766955895328;-0,545634421541998;0,16839373166688;0,235924077332286;-0,681800267906587;-0,67061779255076;-0,258108209351954;0,0796573728317951;0,111602088759646;0,520956740543734;0,417936926968419;0,0495350374109147;0,00440137793021364;0,00716991714672184;0,379852380038852;0,367494344826374;0,0544382496057711;0,00518504434013189;0,0101775949513581;0,182852386237514;1,23185853355499;0,277474006484517
"classe 2";2,03471742351203;-1,23143218723616;-0,41514627218019;0,0274076439095798;-0,187520860726153;0,840192714328225;-0,508493385837944;-0,1714257071944;0,0113173959507283;-0,0774326985880552;0,748601873752336;0,227371998376629;0,0206759998266997;8,40689232726335e-05;0,00326605912106465;0,603090835629938;0,220899901962997;0,025105958472581;0,000109425345714213;0,00512240245114469;0,145671476137625;1,45071869092791;0,306577962849329
"classe 3";-0,0813603955914942;1,46161782654558;-2,20925436407959;-0,936022689598851;-0,394191421030893;-0,0286663783512884;0,514983848297853;-0,778404787913315;-0,329796584325315;-0,138888710360265;0,00117398837551126;0,314180069206095;0,574315674895079;0,0961744748027303;0,0141557927205865;0,000731011809206482;0,235920647893612;0,539001200996523;0,0967544709285957;0,0171598159858249;0,110432852386238;1,46482488935318;0,236957091752076
"classe 4";-0,00219512677137261;0,930290182969135;0,0311520383279152;2,65057171891084;-0,481772875138434;-0,000770146410553602;0,326386455001381;0,0109294965614538;0,929936403608087;-0,169026980732391;9,29168084476484e-07;0,138383790518503;0,000124156522905863;0,838500967422541;0,0229901563679654;5,28118676261573e-07;0,0948525889813693;0,000106361695153618;0,770001254897485;0,0254388223561503;0,109600443951165;1,4048081616882;0,216294938568974
"classe 5";0,171797946050337;0,594692709462508;0,596451534886385;-0,241000483345202;1,93587338563747;0,0805878185849059;0,278961357139209;0,279786395548809;-0,113049682357711;0,908088931164456;0,0117131236390829;0,116384540626236;0,0936717528408116;0,0142666496820147;0,763963933211854;0,00532309857758727;0,0637843013726715;0,0641621481005581;0,0104752501199233;0,675900040896963;0,180355160932297;0,979233270983624;0,172942166856503
"classe 6";-0,201457670479049;0,250775188598368;1,08168839383703;-0,658289628000062;-0,990946514324585;-0,122857324469696;0,152933212427784;0,659658883480242;-0,40145258420751;-0,604320685099707;0,0247221799325027;0,0317659284875006;0,472873547481018;0,16338137599522;0,307256968103755;0,011002145825739;0,0170482149629762;0,317186081129413;0,11747455436815;0,26620132335856;0,271087680355161;0,7903964548656;0,16935567288547
