"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,380547711689999;27,5838796979544;27,5838796979544
"facteur 2";0,315560321448058;22,8732894112416;50,4571691091959
"facteur 3";0,252482131429697;18,3010868947577;68,7582560039536
"facteur 4";0,235536648914722;17,0727989908808;85,8310549948344
"facteur 5";0,195475025914396;14,1689450051656;100
