"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"manter";1,48326296619564;0,970345618432868;0,0185106009196355;0,722378013619483;-1,63533389570648;-0,311798423410061;0,584698732282663;0,382507934131822;0,00729683484194371;0,284759694280986;-0,644644730887407;-0,122910196674828;0,438790230233711;0,121602291479646;3,99137146416969e-05;0,0443431930459624;0,185405704596025;0,00596403880554706;0,00857243970992619;0,00366877460079088;1,33508577264442e-06;0,00203327991646354;0,0104203188821625;0,000378805226239934;0,0038964412503247;0,672759878140534;0,00176355211824443
"o";0,0331428207996508;0,112800260035393;0,211952018349855;0,0519360236590671;-0,212424194483666;0,218417695772656;0,0843807820398737;0,287186604110289;0,539624468641453;0,132227800369956;-0,540826617114944;0,556085919543642;0,00878994948772203;0,0659319410880802;0,209963123777712;0,00919649026660466;0,125517700788282;0,117423513982255;3,68082797476713e-05;0,000426370143128257;0,00150536459242856;9,03865844844032e-05;0,00151207921565393;0,0015986088979919;0,0335093947527925;0,106210311699424;0,000378007094161292
"demonstrar";-0,0851240933208303;-1,1235361141045;1,78667702395253;0,149281615703082;-0,675088692037305;1,0203236795752;-0,0348072564540996;-0,459414111016535;0,730572543533278;0,061041278431896;-0,276043882716517;0,417210528719653;0,00165174776940231;0,18632924408808;0,425002325160374;0,00216435584798496;0,0361118693675452;0,0729939138725778;1,1921041995859e-05;0,00207674557054668;0,00525171711580893;3,66624828947552e-05;0,000749774880960788;0,00171271519706778;0,00164516408347043;0,629290302294726;0,000651495316190282
"que";0,0342486860359873;-0,0629615771160626;-0,274876712885414;-0,209983321874854;-0,45508160347907;-0,0447110366628213;0,0592713772836378;-0,108962410636652;-0,475706464732637;-0,36340082305751;-0,787572211859697;-0,077377704943192;0,00462689886304772;0,0101256192416106;0,174075858478679;0,0741052647581196;0,283968593535831;0,00242551321650523;3,34148368618968e-05;0,000112928279805861;0,00215242195837917;0,00125609104755233;0,0058997020050612;5,6948330333683e-05;0,0284873149190406;0,151275750218996;0,000651913759357633
"a";-0,40690448237573;0,125019085288413;0,204578959869968;0,0433330550390858;0,0493904756539237;-0,462529433586887;-0,612524449774257;0,188194649467773;0,307958305345068;0,0652304332945259;0,0743488342703321;-0,69625821066921;0,582260414558065;0,0355920636625699;0,0859636248053656;0,00281350839734091;0,00298200459056457;0,231410497119369;0,0108670026318569;0,00102583487213218;0,00274692471406011;0,000123243334794137;0,000160107339741379;0,0140411789346375;0,0656333881721361;0,160215395341169;0,00168474166260973
"genitora";0,578100819195327;-1,57408073568535;-0,367208198378861;-1,2276486207214;2,38180151714849;-1,87824290869567;0,156445473681084;-0,425977265780968;-0,0993737746556415;-0,332225908709178;0,644562426123665;-0,508289543592131;0,0418818228050913;0,201066922793764;0,0098696923023345;0,0804718243887667;0,2471263835018;0,135985909285365;0,000897066176446754;0,00665076067504788;0,000361944557074735;0,00404543728588914;0,0152274943700594;0,00946936437319529;0,00268421508355702;0,848713678591539;0,00193348014157761
"não";0,434498409350156;-0,157283965763845;-0,180973231478663;0,428371329361387;0,90396358758534;-0,225004351202363;0,381438808478365;-0,138076934696818;-0,15887334060657;0,376059948533024;0,793574352256155;-0,197527516276617;0,212240484034199;0,0180089737787131;0,0215050768291919;0,0878961634803653;0,319332626387403;0,0175067555446522;0,00205969324908692;0,00026989514085087;0,000357317960385361;0,00200201328887125;0,00891513733896441;0,000552341909737602;0,0109100355009092;0,283363874170953;0,00087602222991875
"condição";1,77415022913811;-0,246446511687768;-0,209042950651737;-1,24561727489372;2,02503811167023;-2,02056506922025;0,49230565072753;-0,0683859846327207;-0,0580069399763299;-0,345644023263979;0,561924063103821;-0,56068284686525;0,344960583735113;0,00431024800607124;0,00279717871413022;0,0724494707900651;0,156222889454759;0,137627861196708;0,00844885965036584;0,000163028173592099;0,000117297394729649;0,00416472718511764;0,0110073737955862;0,0109587998240145;0,00268421508355702;0,90756148915087;0,00221090168449927
"para";-0,00883128750406933;0,25125814894535;-0,42831342093259;-0,764802677474329;0,0693266642518869;-0,721077520495332;-0,00758296819857728;0,215742331138926;-0,367770503277025;-0,656696362654061;0,0595272082460532;-0,619151839876748;8,03949047163802e-05;0,0421394640598521;0,110449642356077;0,256895536527556;0,00172214874260393;0,164860411526693;6,01026571060548e-07;0,000486503464336176;0,00141373819404598;0,00450759018590348;3,70378896432724e-05;0,00400690954716157;0,00770629491730886;0,295923984216636;0,000674847986378356
"assumir";1,82178991504546;0,0686215282568496;-0,650533259344989;-1,15823077363624;-2,33375837360406;2,70465466598211;0,431201582062786;0,0162421096436805;-0,153975476698706;-0,274142994129645;-0,552379994278999;0,64016787077004;0,24267564428532;0,000222955707342117;0,0180729515781304;0,0417923781676782;0,138430234836867;0,164522475634215;0,00287377131748319;4,07733495567201e-06;0,000366433043132752;0,00116157115334489;0,00471593051031872;0,00633401754456559;0,00086587583340549;1,11110628031119;0,00106897321512422
